customer_id,signup_date,last_active,country,subscription_tier,monthly_spend,support_tickets,churn,source
cf19af43-304f-443f-9ce2-8085d4b05a38,2023-06-01,2024-05-31,Antigua and Barbuda,Basic,142.98,6,1,synthetic_saas
45fbb1e4-1428-4dbb-9155-536584c9413a,2023-07-02,2024-07-25,French Polynesia,Pro,34.83,5,1,synthetic_saas
cb83382f-16c0-46a0-8f43-d09e7f7296bd,2023-06-07,2025-02-10,Gibraltar,Basic,148.12,3,0,synthetic_saas
3f7843c6-4dc6-4d22-a615-37f85c2eb98e,2023-09-13,2024-09-18,Kuwait,Basic,15.16,3,0,synthetic_saas
e1fe138e-f4c2-4b96-acf1-06f4d7cb0b22,2023-07-14,2024-05-23,Tajikistan,Pro,179.14,7,0,synthetic_saas
c4b8879d-053b-4a7b-819c-feb43a6163bb,2023-12-05,2025-03-05,American Samoa,Enterprise,65.49,0,0,synthetic_saas
9bd77454-4612-470e-b27b-5b391248adf1,2023-06-24,2024-10-07,Wallis and Futuna,Enterprise,159.07,7,0,synthetic_saas
ea46d906-f425-432f-b26f-290452f84aff,2023-05-15,2024-12-17,Sudan,Free,59.87,3,0,synthetic_saas
5a3baaee-bd5e-47d2-80f7-0590d42aa884,2024-02-25,2024-08-07,Saint Helena,Enterprise,100.29,5,0,synthetic_saas
78a1c66e-9402-4bd7-b594-6b075d23cd6b,2024-02-17,2024-08-02,Bolivia,Basic,100.25,10,0,synthetic_saas
7debb320-fdff-412a-8bd3-bd8b4ed59d16,2023-06-20,2024-06-30,Libyan Arab Jamahiriya,Free,114.59,4,0,synthetic_saas
6f56f885-e7ca-4b42-9d14-40b2dfca9e3e,2024-03-12,2024-09-15,Saint Helena,Free,198.09,3,1,synthetic_saas
491cec32-e95e-4110-9718-04f4bacc4d16,2024-02-19,2024-07-20,Azerbaijan,Free,109.6,4,0,synthetic_saas
53528646-cdca-41cd-90eb-86d90bb96114,2023-08-05,2025-02-09,Martinique,Enterprise,142.23,0,0,synthetic_saas
7b504e30-a2c8-486f-8caf-56df84e55214,2023-07-02,2024-05-04,Sweden,Enterprise,21.96,0,0,synthetic_saas
a9f3385d-652b-4f9c-bf6a-179d7890d331,2024-03-21,2024-07-23,Peru,Enterprise,119.19,1,0,synthetic_saas
93caf78a-0246-4764-856d-466d48574c64,2024-01-18,2024-06-03,New Caledonia,Basic,90.38,3,0,synthetic_saas
bb1c9ca2-3466-4e22-a8fd-8cecabc900e2,2024-02-20,2024-11-21,Tajikistan,Enterprise,128.08,10,0,synthetic_saas
4b79b0f0-5641-433e-9f06-926fa1bfd4b3,2023-11-17,2024-06-02,Azerbaijan,Free,155.63,9,1,synthetic_saas
26b1db76-76d7-4844-af6b-157df32046e9,2024-01-30,2025-03-12,Kiribati,Free,164.66,2,0,synthetic_saas
e2fc85c6-7cd5-4808-a235-9b0c5cc41617,2023-11-30,2024-12-16,Portugal,Free,50.94,1,0,synthetic_saas
e2340c16-e972-4fbd-9cb4-1e0462b12116,2023-06-02,2024-10-11,Palestinian Territory,Free,157.48,1,0,synthetic_saas
eb0f09db-a8fa-4131-a76b-f886472ece17,2023-10-14,2024-12-18,Tanzania,Pro,53.62,3,0,synthetic_saas
ebf0808a-68fb-4b3f-a504-9c476ce9a2eb,2023-08-10,2025-03-22,Azerbaijan,Pro,89.78,7,0,synthetic_saas
ce0b94fa-7d00-49d3-bbb5-9d0c780d63a7,2023-04-12,2024-05-11,Jamaica,Basic,15.97,7,0,synthetic_saas
31c42bc0-8c91-40fd-92d0-55f9a6d59ab4,2023-10-01,2024-05-19,Dominican Republic,Basic,189.93,0,0,synthetic_saas
6a2b864f-0f17-41c1-a518-2ee48a95efbf,2023-07-31,2025-02-02,Ethiopia,Enterprise,150.41,10,0,synthetic_saas
75852000-caf5-4793-94db-92d2c85a7a7e,2023-04-08,2024-07-08,Svalbard & Jan Mayen Islands,Pro,16.26,10,0,synthetic_saas
6f70de3e-1a0e-45cb-8839-0a08287c547a,2023-05-22,2024-12-17,Argentina,Basic,164.65,10,0,synthetic_saas
147971ab-7c32-4421-8dcc-92380c528a9a,2023-06-26,2024-05-04,Cambodia,Enterprise,46.62,8,0,synthetic_saas
3c1f4459-0702-46cb-8d35-4cc59e103a86,2023-07-08,2024-08-29,Greece,Basic,82.36,9,0,synthetic_saas
9dca1c4c-03e7-4d64-8c73-a58c8fe89cb0,2023-05-27,2024-10-07,Saint Vincent and the Grenadines,Basic,177.64,0,1,synthetic_saas
a3cc5532-1f3f-4e31-b087-334ca13d0cc1,2023-04-30,2024-06-02,Wallis and Futuna,Enterprise,154.95,5,0,synthetic_saas
ef77d2f5-2939-4833-a0b0-0b7f149c7356,2023-06-26,2024-05-16,Tunisia,Free,18.94,8,0,synthetic_saas
cfde6beb-7bcb-46df-8df6-446817fb7bc9,2023-06-11,2024-04-06,Cote d'Ivoire,Pro,148.34,0,1,synthetic_saas
89a87f52-7604-41d7-b113-722d1a766108,2023-04-07,2024-08-19,Saint Barthelemy,Basic,130.91,9,0,synthetic_saas
e26fe64a-dd96-43f9-8f82-880992d3e160,2023-08-11,2024-05-15,Finland,Free,132.68,8,0,synthetic_saas
4e778216-a84e-42e1-bcdd-5c7d6ed7a50d,2023-12-08,2024-11-21,Chad,Enterprise,7.49,5,0,synthetic_saas
cb3b1da0-f69a-47e9-9293-9ca93117a849,2023-06-23,2024-06-08,Slovenia,Free,121.57,4,0,synthetic_saas
307f8fcc-11c4-4945-a5b7-dd75ba84b662,2024-01-14,2024-11-18,Bouvet Island (Bouvetoya),Basic,109.12,3,0,synthetic_saas
3119b4fe-bc18-48e5-843f-f7bd173e45ed,2023-04-08,2024-11-14,Korea,Free,52.37,0,0,synthetic_saas
36a888fb-b72f-4dfc-a8cb-42948e267acc,2023-05-16,2024-12-31,Namibia,Enterprise,85.07,2,0,synthetic_saas
c58bf7e6-d77d-47fa-a295-379133f70bf1,2024-03-14,2025-02-18,Costa Rica,Free,183.99,0,0,synthetic_saas
37cdf522-64d4-4e08-aefe-574cf38ee3b6,2024-02-08,2024-10-10,Slovakia (Slovak Republic),Basic,144.56,7,0,synthetic_saas
fbd48a77-09b9-4ad9-b197-ce9617038268,2023-07-17,2024-11-11,Vietnam,Free,30.81,8,0,synthetic_saas
b4a4cd4b-d231-4f73-b64b-82beb4b9a28b,2023-11-23,2025-04-03,Austria,Enterprise,41.5,8,0,synthetic_saas
f2881862-7a94-435f-aa55-21eb6de1b6ff,2024-01-27,2024-06-11,Israel,Free,36.31,1,0,synthetic_saas
69c14c19-84ab-449d-ad1b-83ce4ef09f46,2023-06-02,2024-07-05,Mozambique,Basic,51.5,8,0,synthetic_saas
4b685449-6d39-4669-bc58-e627aef134e1,2023-12-01,2024-11-20,Korea,Enterprise,22.69,7,0,synthetic_saas
2e48d0e0-c12f-42d9-9e7f-fe0f75ac5ca9,2023-06-09,2024-08-21,Vanuatu,Basic,96.71,0,0,synthetic_saas
8eeedd21-f03b-45d6-b5aa-d85d68e9f14e,2023-04-26,2025-02-18,United Arab Emirates,Pro,89.19,8,0,synthetic_saas
52cfdd5d-f9eb-45f1-902a-086b0fe60e60,2023-11-22,2024-04-21,Netherlands Antilles,Enterprise,177.49,0,1,synthetic_saas
a130a453-7e93-4230-ad51-a65558efb4e6,2023-09-15,2024-07-18,Costa Rica,Free,163.89,10,0,synthetic_saas
36095c28-04dc-450e-8264-006953dc5d88,2023-11-20,2024-05-22,Kuwait,Pro,80.74,9,0,synthetic_saas
788b6bf8-51d9-442e-a9dc-c1128e6ee631,2023-09-08,2024-04-13,Mexico,Enterprise,142.36,3,1,synthetic_saas
bb7c894b-b5d1-4399-bd07-0b832a1e7f1b,2023-07-13,2024-11-04,Austria,Pro,120.96,9,0,synthetic_saas
18d15dbd-e66f-435b-b65a-009314a1d5f4,2024-01-22,2025-02-14,Tokelau,Enterprise,67.24,2,0,synthetic_saas
6263353d-d72e-4eff-a2b8-e506cb6e7846,2023-11-23,2025-01-24,Luxembourg,Free,161.85,10,0,synthetic_saas
c0079cad-bbe9-4e00-8ca3-1feb04df4a66,2023-08-14,2025-03-02,Germany,Enterprise,95.48,5,1,synthetic_saas
2c817582-b193-4159-b60e-2ee09598bb2a,2023-04-06,2024-10-19,Western Sahara,Free,52.66,2,1,synthetic_saas
89bd8fe9-f41d-4223-88cd-3720144bd2b2,2023-06-21,2025-03-05,Tonga,Pro,97.53,0,0,synthetic_saas
b32dd7b7-faee-4090-98b7-d8247ecebc2f,2023-07-12,2024-05-11,Ireland,Free,190.76,7,0,synthetic_saas
f29c6d32-0d93-4bca-8d5e-39fc8cddde5e,2023-12-14,2024-09-20,Gabon,Basic,141.76,10,0,synthetic_saas
7c5a1fca-40a2-42da-8329-992776f5942c,2024-01-23,2025-03-27,French Polynesia,Free,188.91,7,0,synthetic_saas
